wavelength,0,1,2,3,4,5
384,-0.0015,0.0116,-0.0001,0.0031,0.0181,0.017
386,-0.0017,0.0118,0,0.0032,0.0188,0.0177
388,-0.0017,0.0114,0.0001,0.0034,0.0182,0.0174
390,-0.0016,0.0117,0.0002,0.0036,0.0191,0.0182
392,-0.0019,0.0127,-0.0004,0.0033,0.0203,0.0195
394,-0.0016,0.0117,0.0002,0.0037,0.0189,0.0182
396,-0.0017,0.012,-0.0001,0.0034,0.0194,0.0185
398,-0.0018,0.012,-0.0005,0.0027,0.019,0.0183
400,-0.0016,0.0114,-0.0005,0.0026,0.0179,0.017
402,-0.0017,0.0115,-0.0011,0.0018,0.0174,0.0167
404,-0.002,0.0121,-0.0022,0.0006,0.0174,0.0166
406,-0.0017,0.01,-0.0019,0.0005,0.0143,0.0135
408,-0.002,0.0116,-0.003,-0.0006,0.016,0.0148
410,-0.0018,0.011,-0.0032,-0.0011,0.0147,0.0137
412,-0.002,0.0121,-0.004,-0.0019,0.0156,0.0145
414,-0.0018,0.0103,-0.0035,-0.0016,0.0133,0.0123
416,-0.0018,0.0113,-0.0037,-0.0018,0.0144,0.0133
418,-0.0018,0.0111,-0.0037,-0.0018,0.0143,0.0131
420,-0.0021,0.0123,-0.0044,-0.0025,0.0157,0.0146
422,-0.0019,0.0111,-0.004,-0.002,0.0142,0.0132
424,-0.0017,0.0099,-0.0032,-0.0014,0.0132,0.0122
426,-0.0021,0.0125,-0.0039,-0.0018,0.0167,0.0154
428,-0.0018,0.0107,-0.0031,-0.0011,0.0148,0.0138
430,-0.002,0.0115,-0.0033,-0.0013,0.0157,0.0148
432,-0.0018,0.0118,-0.0028,-0.0006,0.0168,0.0155
434,-0.0018,0.0112,-0.0026,-0.0003,0.0163,0.0151
436,-0.002,0.0128,-0.0029,-0.0003,0.0187,0.0175
438,-0.0019,0.013,-0.0026,0,0.0194,0.0181
440,-0.0021,0.0141,-0.0026,0.0003,0.0213,0.0197
442,-0.0018,0.0122,-0.0016,0.0012,0.0193,0.018
444,-0.0019,0.0131,-0.0016,0.0014,0.021,0.0196
446,-0.0019,0.0134,-0.0014,0.0018,0.0217,0.0203
448,-0.002,0.0137,-0.0009,0.0024,0.0229,0.0214
450,-0.0019,0.0144,-0.0007,0.0027,0.0244,0.0226
452,-0.002,0.0145,-0.0003,0.0034,0.0249,0.0234
454,-0.002,0.0151,-0.0001,0.0038,0.0262,0.0247
456,-0.002,0.0154,0.0003,0.0044,0.0272,0.0256
458,-0.0019,0.0152,0.0005,0.0048,0.0275,0.0261
460,-0.0018,0.015,0.0014,0.0057,0.0279,0.0264
462,-0.0021,0.0169,0.0012,0.0058,0.0309,0.0291
464,-0.002,0.0162,0.0015,0.0065,0.0303,0.0289
466,-0.0017,0.0151,0.0025,0.0075,0.0299,0.0283
468,-0.0018,0.0159,0.0027,0.0078,0.0313,0.0299
470,-0.002,0.0175,0.003,0.0084,0.0341,0.0323
472,-0.002,0.0189,0.0029,0.0087,0.0362,0.0346
