Time,calib,bad,upstream,downstream
5688.39,0.600818,-0.142409,-0.142409,-1.774005
5688.4,0.600818,-0.114089,-0.114089,-0.421466
5688.41,0.598865,-0.078932,-0.078932,0.263104
5688.42,0.600818,-0.038893,-0.038893,0.284589
5688.43,0.601794,-0.029128,-0.029128,0.296308
5688.44,0.600818,0.014818,0.014818,0.30119
5688.45,0.601794,0.066575,0.066575,0.296308
5688.46,0.598865,0.120286,0.120286,0.27287
5688.47,0.600818,0.160325,0.160325,-1.541583
5688.48,0.600818,0.191575,0.191575,-8.806231
5688.49,0.600818,0.219896,0.219896,-1.707599
5688.5,0.600818,0.242357,0.242357,0.089276
5688.51,0.599841,0.261888,0.261888,0.043378
5688.52,0.599841,0.274583,0.274583,0.005292
5688.53,0.599841,0.278489,0.278489,-0.032794
5688.54,0.601794,0.278489,0.278489,-0.076739
5688.55,0.602771,0.2697,0.2697,-0.100177
5688.56,0.600818,0.260911,0.260911,-0.112872
5688.57,0.600818,0.214036,0.214036,-0.137286
5688.58,0.597888,0.221849,0.221849,-0.153888
5688.59,0.601794,0.151536,0.151536,-0.1617
5688.6,0.601794,0.115403,0.115403,-0.162677
5688.61,0.600818,0.079271,0.079271,-0.157794
5688.62,0.600818,0.033372,0.033372,-0.149005
5688.63,0.598865,-0.010573,-0.010573,-0.13338
5688.64,0.601794,-0.055495,-0.055495,-0.113849
5688.65,0.601794,-0.10237,-0.10237,-0.089435
5688.66,0.600818,-0.13655,-0.13655,-0.063067
5688.67,0.600818,-0.139479,-0.139479,-0.058185
5688.68,0.598865,-0.186354,-0.186354,-0.015216
5688.69,0.599841,-0.187331,-0.187331,-1.811114
5688.7,0.601794,-0.182448,-0.182448,-1.158771
5688.71,0.600818,-0.172682,-0.172682,0.099042
5688.72,0.600818,-0.151198,-0.151198,0.141034
5688.73,0.598865,-0.120925,-0.120925,0.192792
5688.74,0.598865,-0.084792,-0.084792,0.255292
5688.75,0.599841,-0.050612,-0.050612,0.276776
5688.76,0.601794,-0.031081,-0.031081,0.292401
5688.77,0.601794,0.007982,0.007982,0.296308
5688.78,0.600818,0.05095,0.05095,0.295331
5688.79,0.599841,0.107591,0.107591,0.284589
5688.8,0.597888,0.158372,0.158372,0.267987
5688.81,0.600818,0.192552,0.192552,-6.990802
5688.82,0.601794,0.217943,0.217943,-7.017169
5688.83,0.602771,0.245286,0.245286,0.120526
5688.84,0.600818,0.264818,0.264818,0.056073
5688.85,0.597888,0.278489,0.278489,0.014081
5688.86,0.600818,0.286302,0.286302,-0.022052
5688.87,0.601794,0.285325,0.285325,-0.06795
5688.88,0.601794,0.280443,0.280443,-0.087481
5688.89,0.600818,0.2697,0.2697,-0.114825
5688.9,0.599841,0.246263,0.246263,-0.13338
5688.91,0.600818,0.21013,0.21013,-0.150958
5688.92,0.599841,0.164232,0.164232,-0.160724
5688.93,0.601794,0.130052,0.130052,-0.16463
5688.94,0.602771,0.089036,0.089036,-0.153888
5688.95,0.598865,0.048021,0.048021,-0.145099
5688.96,0.599841,0.003099,0.003099,-0.141192
5688.97,0.599841,-0.041823,-0.041823,-0.122638
5688.98,0.600818,-0.087722,-0.087722,-0.100177
5688.99,0.603748,-0.132643,-0.132643,-0.069903
5689,0.601794,-0.13362,-0.13362,-0.059161
5689.01,0.600818,-0.183425,-0.183425,-0.034747
5689.02,0.598865,-0.190261,-0.190261,-1.177325
5689.03,0.600818,-0.187331,-0.187331,-5.311114
5689.04,0.600818,-0.170729,-0.170729,-8.809161
5689.05,0.600818,-0.158034,-0.158034,-8.811114
5689.06,0.601794,-0.131667,-0.131667,-8.811114
5689.07,0.600818,-0.095534,-0.095534,0.240644
5689.08,0.597888,-0.056472,-0.056472,0.271894
