Time,calib,upstream,downstream
5853.25,0.601794,0.358568,0.163495
5853.26,0.600818,0.360521,0.195722
5853.27,0.600818,0.355638,0.223065
5853.28,0.600818,0.339036,0.250409
5853.29,0.599841,0.313646,0.273847
5853.3,0.601794,0.297044,0.297284
5853.31,0.599841,0.283372,0.312909
5853.32,0.600818,0.266771,0.323651
5853.33,0.600818,0.23845,0.33537
5853.34,0.599841,0.212083,0.341229
5853.35,0.599841,0.182786,0.33537
5853.36,0.600818,0.15056,0.325604
5853.37,0.599841,0.114427,0.30705
5853.38,0.601794,0.079271,0.284589
5853.39,0.600818,0.071458,0.255292
5853.4,0.599841,0.039232,0.224042
5853.41,0.600818,0.001146,0.161542
5853.42,0.598865,-0.041823,0.156659
5853.43,0.601794,-0.085768,0.11662
5853.44,0.600818,-0.168776,0.079511
5853.45,0.602771,-0.210768,0.043378
5853.46,0.599841,-0.241042,0.005292
5853.47,0.600818,-0.238112,-0.026935
5853.48,0.601794,-0.259596,-0.057208
5853.49,0.600818,-0.271315,-0.082599
5853.5,0.599841,-0.278151,-0.111896
5853.51,0.599841,-0.278151,-0.138263
5853.52,0.602771,-0.275221,-0.1617
5853.53,0.600818,-0.268386,-0.184161
5853.54,0.600818,-0.25569,-0.203692
5853.55,0.601794,-0.244948,-0.221271
5853.56,0.600818,-0.22737,-0.232989
5853.57,0.601794,-0.211745,-0.241778
5853.58,0.600818,-0.187331,-0.245685
5853.59,0.599841,-0.166823,-0.246661
5853.6,0.600818,-0.138503,-0.236896
5853.61,0.600818,-0.097487,-0.2242
5853.62,0.600818,-0.075026,-0.213458
5853.63,0.601794,-0.035964,-0.196856
5853.64,0.601794,0.007005,-0.172442
5853.65,0.599841,0.051927,-0.147052
5853.66,0.601794,0.101732,-0.118731
5853.67,0.599841,0.151536,-0.087481
5853.68,0.601794,0.194505,-0.056231
5853.69,0.601794,0.237474,-0.024981
5853.7,0.598865,0.27263,0.007245
5853.71,0.601794,0.30095,0.040448
5853.72,0.601794,0.325364,0.070722
5853.73,0.601794,0.342943,0.102948
5853.74,0.600818,0.353685,0.134198
5853.75,0.602771,0.361497,0.163495
5853.76,0.598865,0.362474,0.194745
5853.77,0.599841,0.359544,0.225019
5853.78,0.600818,0.336107,0.251386
5853.79,0.600818,0.316575,0.27287
5853.8,0.600818,0.299974,0.292401
5853.81,0.599841,0.283372,0.310956
5853.82,0.600818,0.291185,0.323651
5853.83,0.598865,0.268724,0.331464
5853.84,0.601794,0.204271,0.337323
5853.85,0.599841,0.184739,0.333417
5853.86,0.600818,0.152513,0.323651
5853.87,0.600818,0.115403,0.305097
5853.88,0.600818,0.08806,0.282636
5853.89,0.601794,0.055833,0.257245
5853.9,0.598865,0.029466,0.225019
5853.91,0.599841,-0.006667,0.142987
5853.92,0.600818,-0.045729,0.157636
5853.93,0.600818,-0.091628,0.120526
5853.94,0.602771,-0.160964,0.079511
5853.95,0.600818,-0.212722,0.044354
5853.96,0.600818,-0.246901,0.006269
5853.97,0.599841,-0.247878,-0.027911
5853.98,0.601794,-0.263503,-0.059161
5853.99,0.600818,-0.279128,-0.085528
5854,0.601794,-0.283034,-0.113849
5854.01,0.600818,-0.283034,-0.139239
5854.02,0.600818,-0.281081,-0.160724
5854.03,0.600818,-0.273268,-0.183185
5854.04,0.600818,-0.260573,-0.202716
5854.05,0.601794,-0.249831,-0.218341
5854.06,0.600818,-0.232253,-0.232013
5854.07,0.599841,-0.213698,-0.240802
5854.08,0.599841,-0.192214,-0.245685
5854.09,0.599841,-0.1678,-0.243731
5854.1,0.600818,-0.139479,-0.236896
5854.11,0.600818,-0.107253,-0.225177
5854.12,0.600818,-0.072097,-0.212481
5854.13,0.599841,-0.033034,-0.190997
5854.14,0.599841,0.010911,-0.16756
5854.15,0.600818,0.05681,-0.140216
5854.16,0.599841,0.106614,-0.109942
5854.17,0.599841,0.153489,-0.081622
5854.18,0.599841,0.202318,-0.051349
5854.19,0.601794,0.23845,-0.018146
5854.2,0.600818,0.27556,0.013104
5854.21,0.599841,0.304857,0.045331
5854.22,0.600818,0.326341,0.077558
5854.23,0.600818,0.346849,0.108808
5854.24,0.600818,0.356614,0.140058
5854.25,0.600818,0.365404,0.166425
5854.26,0.602771,0.36345,0.197675
5854.27,0.599841,0.360521,0.225995
5854.28,0.601794,0.337083,0.249433
5854.29,0.600818,0.313646,0.26994
5854.3,0.600818,0.30095,0.293378
5854.31,0.600818,0.281419,0.30705
5854.32,0.599841,0.268724,0.319745
5854.33,0.599841,0.260911,0.330487
5854.34,0.600818,0.212083,0.333417
5854.35,0.600818,0.179857,0.329511
5854.36,0.600818,0.14763,0.316815
5854.37,0.600818,0.111497,0.302167
5854.38,0.599841,0.091966,0.278729
5854.39,0.601794,0.070482,0.251386
5854.4,0.600818,0.020677,0.219159
5854.41,0.599841,-0.018386,0.14787
5854.42,0.601794,-0.049636,0.14494
5854.43,0.600818,-0.090651,0.108808
5854.44,0.600818,-0.155104,0.071698
5854.45,0.601794,-0.215651,0.033612
5854.46,0.601794,-0.249831,-0.003497
5854.47,0.601794,-0.252761,-0.034747
5854.48,0.600818,-0.267409,-0.065021
5854.49,0.600818,-0.281081,-0.094317
5854.5,0.601794,-0.285964,-0.118731
5854.51,0.601794,-0.287917,-0.145099
5854.52,0.599841,-0.280104,-0.165606
5854.53,0.601794,-0.274245,-0.186114
5854.54,0.600818,-0.260573,-0.204669
5854.55,0.601794,-0.246901,-0.222247
5854.56,0.601794,-0.233229,-0.232989
5854.57,0.601794,-0.212722,-0.237872
5854.58,0.600818,-0.195143,-0.241778
5854.59,0.598865,-0.1678,-0.243731
5854.6,0.600818,-0.144362,-0.239825
5854.61,0.602771,-0.109206,-0.222247
5854.62,0.600818,-0.076003,-0.202716
5854.63,0.600818,-0.034987,-0.190997
5854.64,0.601794,0.006028,-0.166583
5854.65,0.599841,0.051927,-0.140216
5854.66,0.601794,0.099778,-0.110919
5854.67,0.601794,0.148607,-0.082599
5854.68,0.601794,0.197435,-0.049396
5854.69,0.602771,0.23845,-0.017169
5854.7,0.600818,0.27556,0.012128
5854.71,0.601794,0.305833,0.043378
5854.72,0.601794,0.330247,0.076581
5854.73,0.600818,0.349779,0.108808
5854.74,0.601794,0.361497,0.141034
5854.75,0.601794,0.368333,0.171308
5854.76,0.600818,0.370286,0.200604
5854.77,0.598865,0.367357,0.227948
5854.78,0.602771,0.33806,0.253339
5854.79,0.601794,0.319505,0.278729
5854.8,0.601794,0.30388,0.298261
5854.81,0.601794,0.286302,0.313886
5854.82,0.602771,0.263841,0.326581
5854.83,0.601794,0.242357,0.33537
5854.84,0.601794,0.209153,0.3383
5854.85,0.602771,0.183763,0.333417
5854.86,0.601794,0.15056,0.321698
5854.87,0.601794,0.11345,0.302167
5854.88,0.602771,0.076341,0.2758
5854.89,0.601794,0.052903,0.250409
5854.9,0.602771,0.027513,0.208417
5854.91,0.602771,-0.002761,0.133222
5854.92,0.600818,-0.049636,0.107831
5854.93,0.600818,-0.091628,0.098065
5854.94,0.601794,-0.160964,0.068769
5854.95,0.602771,-0.217604,0.030683
5854.96,0.601794,-0.245925,-0.003497
5854.97,0.600818,-0.253737,-0.037677
5854.98,0.601794,-0.263503,-0.06795
5854.99,0.601794,-0.276198,-0.096271
5855,0.602771,-0.284011,-0.123614
5855.01,0.600818,-0.282057,-0.147052
