Time,calib,upstream,downstream
5433.44,0.596912,0.27263,0.185956
5433.45,0.599841,0.264818,0.21037
5433.46,0.595935,0.257982,0.233808
5433.47,0.595935,0.246263,0.249433
5433.48,0.598865,0.231614,0.262128
5433.49,0.599841,0.21306,0.27287
5433.5,0.595935,0.198411,0.276776
5433.51,0.596912,0.173997,0.2758
5433.52,0.599841,0.128099,0.26994
5433.53,0.596912,0.096849,0.256269
5433.54,0.594959,0.073411,0.240644
5433.55,0.599841,0.044114,0.219159
5433.56,0.598865,0.016771,0.195722
5433.57,0.596912,-0.01155,0.168378
5433.58,0.596912,-0.037917,0.139081
5433.59,0.599841,-0.067214,0.108808
5433.6,0.598865,-0.07112,0.075604
5433.61,0.594959,-0.088698,0.041425
5433.62,0.597888,-0.111159,0.014081
5433.63,0.599841,-0.132643,-0.013263
5433.64,0.597888,-0.150222,-0.038653
5433.65,0.595935,-0.165847,-0.063067
5433.66,0.599841,-0.180495,-0.081622
5433.67,0.597888,-0.187331,-0.0992
5433.68,0.597888,-0.191237,-0.115802
5433.69,0.596912,-0.19319,-0.125567
5433.7,0.601794,-0.194167,-0.13631
5433.71,0.595935,-0.187331,-0.144122
5433.72,0.598865,-0.180495,-0.151935
5433.73,0.599841,-0.168776,-0.154864
5433.74,0.599841,-0.156081,-0.158771
5433.75,0.594959,-0.135573,-0.1617
5433.76,0.598865,-0.117995,-0.159747
5433.77,0.599841,-0.097487,-0.151935
5433.78,0.595935,-0.073073,-0.149005
5433.79,0.597888,-0.041823,-0.140216
5433.8,0.602771,-0.018386,-0.13631
5433.81,0.597888,0.015794,-0.121661
5433.82,0.596912,0.048997,-0.108966
5433.83,0.598865,0.080247,-0.092364
5433.84,0.599841,0.108568,-0.07088
5433.85,0.595935,0.141771,-0.051349
5433.86,0.598865,0.169114,-0.026935
5433.87,0.599841,0.194505,-0.003497
5433.88,0.595935,0.215989,0.02287
5433.89,0.595935,0.235521,0.050214
5433.9,0.598865,0.249193,0.078534
5433.91,0.600818,0.258958,0.107831
5433.92,0.594959,0.267747,0.132245
5433.93,0.598865,0.2697,0.158612
5433.94,0.598865,0.268724,0.184979
5433.95,0.597888,0.264818,0.209394
5433.96,0.595935,0.257005,0.231854
5433.97,0.599841,0.246263,0.247479
5433.98,0.597888,0.233568,0.259198
5433.99,0.595935,0.215989,0.270917
5434,0.597888,0.199388,0.271894
5434.01,0.599841,0.174974,0.26994
5434.02,0.596912,0.143724,0.263104
5434.03,0.595935,0.099778,0.253339
5434.04,0.598865,0.075364,0.234784
5434.05,0.598865,0.047044,0.212323
5434.06,0.595935,0.021653,0.189862
5434.07,0.597888,-0.00862,0.160565
5434.08,0.598865,-0.034987,0.131269
5434.09,0.598865,-0.062331,0.099042
5434.1,0.596912,-0.07112,0.069745
5434.11,0.597888,-0.086745,0.036542
5434.12,0.600818,-0.109206,0.007245
5434.13,0.595935,-0.131667,-0.022052
5434.14,0.595935,-0.145339,-0.045489
5434.15,0.599841,-0.162917,-0.066974
5434.16,0.597888,-0.175612,-0.088458
5434.17,0.595935,-0.182448,-0.10506
5434.18,0.597888,-0.186354,-0.115802
5434.19,0.599841,-0.189284,-0.129474
5434.2,0.596912,-0.186354,-0.139239
5434.21,0.596912,-0.183425,-0.147052
5434.22,0.598865,-0.176589,-0.150958
5434.23,0.599841,-0.166823,-0.157794
