Time,calib,upstream,downstream
5561.96,0.594959,-0.013503,-0.13631
5561.97,0.597888,0.02263,-0.10506
5561.98,0.597888,0.060716,-0.072833
5561.99,0.598865,0.096849,-0.037677
5562,0.597888,0.132005,-0.003497
5562.01,0.596912,0.169114,0.035565
5562.02,0.596912,0.196458,0.074628
5562.03,0.595935,0.225755,0.108808
5562.04,0.598865,0.246263,0.142987
5562.05,0.598865,0.262864,0.17619
5562.06,0.597888,0.274583,0.202558
5562.07,0.597888,0.279466,0.227948
5562.08,0.597888,0.279466,0.24455
5562.09,0.596912,0.273607,0.259198
5562.1,0.596912,0.259935,0.265058
5562.11,0.597888,0.242357,0.265058
5562.12,0.601794,0.206224,0.261151
5562.13,0.598865,0.184739,0.251386
5562.14,0.596912,0.169114,0.235761
5562.15,0.597888,0.132005,0.216229
5562.16,0.596912,0.08806,0.192792
5562.17,0.597888,0.05095,0.170331
5562.18,0.597888,0.014818,0.14787
5562.19,0.597888,-0.017409,0.109784
5562.2,0.597888,-0.034987,0.047284
5562.21,0.597888,-0.064284,0.009198
5562.22,0.595935,-0.13362,-0.021075
5562.23,0.596912,-0.166823,-0.053302
5562.24,0.598865,-0.160964,-0.082599
5562.25,0.598865,-0.173659,-0.112872
5562.26,0.598865,-0.183425,-0.096271
5562.27,0.598865,-0.187331,-0.126544
5562.28,0.597888,-0.190261,-0.151935
5562.29,0.597888,-0.173659,-0.169513
5562.3,0.597888,-0.163893,-0.187091
5562.31,0.598865,-0.146315,-0.193927
5562.32,0.598865,-0.138503,-0.19295
5562.33,0.598865,-0.109206,-0.185138
5562.34,0.597888,-0.081862,-0.177325
5562.35,0.596912,-0.045729,-0.159747
5562.36,0.596912,-0.01155,-0.135333
5562.37,0.596912,0.02556,-0.106036
5562.38,0.596912,0.062669,-0.072833
5562.39,0.599841,0.099778,-0.041583
5562.4,0.599841,0.135911,-0.002521
5562.41,0.598865,0.167161,0.033612
5562.42,0.594959,0.202318,0.072675
5562.43,0.595935,0.226732,0.106854
5562.44,0.598865,0.249193,0.142011
5562.45,0.598865,0.263841,0.17619
5562.46,0.597888,0.276536,0.20744
5562.47,0.596912,0.283372,0.228925
5562.48,0.596912,0.281419,0.248456
5562.49,0.597888,0.276536,0.264081
5562.5,0.597888,0.261888,0.270917
5562.51,0.598865,0.249193,0.271894
5562.52,0.598865,0.220872,0.268964
5562.53,0.598865,0.193528,0.258222
5562.54,0.597888,0.171068,0.24162
5562.55,0.595935,0.121263,0.221112
5562.56,0.596912,0.084153,0.198651
5562.57,0.595935,0.040208,0.177167
5562.58,0.598865,0.009935,0.131269
5562.59,0.599841,-0.028151,0.089276
5562.6,0.598865,-0.049636,0.036542
5562.61,0.598865,-0.064284,0.006269
5562.62,0.595935,-0.124831,-0.024981
5562.63,0.596912,-0.165847,-0.056231
5562.64,0.596912,-0.157057,-0.086505
5562.65,0.597888,-0.170729,-0.098224
5562.66,0.598865,-0.181472,-0.101153
5562.67,0.599841,-0.185378,-0.13338
5562.68,0.596912,-0.187331,-0.155841
5562.69,0.596912,-0.175612,-0.177325
5562.7,0.596912,-0.16487,-0.19295
5562.71,0.596912,-0.149245,-0.200763
5562.72,0.598865,-0.134597,-0.19588
5562.73,0.597888,-0.107253,-0.19295
5562.74,0.598865,-0.079909,-0.182208
5562.75,0.597888,-0.044753,-0.162677
5562.76,0.597888,-0.01155,-0.137286
5562.77,0.596912,0.026536,-0.107013
5562.78,0.597888,0.061693,-0.076739
5562.79,0.597888,0.098802,-0.03963
5562.8,0.597888,0.133958,-0.003497
5562.81,0.597888,0.167161,0.033612
5562.82,0.597888,0.199388,0.070722
5562.83,0.595935,0.222825,0.104901
5562.84,0.596912,0.247239,0.140058
5562.85,0.598865,0.260911,0.174237
5562.86,0.599841,0.273607,0.200604
5562.87,0.598865,0.276536,0.225995
5562.88,0.595935,0.278489,0.247479
5562.89,0.596912,0.2697,0.258222
5562.9,0.596912,0.259935,0.267987
5562.91,0.596912,0.243333,0.268964
5562.92,0.598865,0.214036,0.266034
5562.93,0.598865,0.173997,0.254315
5562.94,0.597888,0.176927,0.23869
5562.95,0.597888,0.129075,0.218183
5562.96,0.595935,0.083177,0.198651
5562.97,0.598865,0.045091,0.172284
5562.98,0.598865,0.008958,0.149823
5562.99,0.599841,-0.021315,0.065839
5563,0.598865,-0.040847,0.045331
5563.01,0.595935,-0.07112,0.004315
5563.02,0.596912,-0.138503,-0.027911
5563.03,0.598865,-0.166823,-0.058185
5563.04,0.598865,-0.1678,-0.087481
5563.05,0.598865,-0.176589,-0.109942
5563.06,0.597888,-0.190261,-0.103106
5563.07,0.595935,-0.195143,-0.132403
5563.08,0.597888,-0.19612,-0.155841
5563.09,0.594959,-0.190261,-0.177325
5563.1,0.599841,-0.172682,-0.19295
5563.11,0.598865,-0.166823,-0.19881
5563.12,0.597888,-0.145339,-0.190997
5563.13,0.597888,-0.121901,-0.186114
5563.14,0.597888,-0.090651,-0.181231
5563.15,0.597888,-0.058425,-0.162677
5563.16,0.598865,-0.023268,-0.138263
5563.17,0.598865,0.013841,-0.109942
5563.18,0.598865,0.052903,-0.077716
5563.19,0.598865,0.087083,-0.044513
5563.2,0.596912,0.127122,-0.006427
5563.21,0.596912,0.157396,0.029706
5563.22,0.598865,0.189622,0.068769
5563.23,0.598865,0.215989,0.105878
5563.24,0.598865,0.24138,0.139081
5563.25,0.595935,0.257005,0.169354
5563.26,0.597888,0.27263,0.197675
5563.27,0.598865,0.276536,0.221112
5563.28,0.599841,0.277513,0.243573
5563.29,0.597888,0.270677,0.256269
5563.3,0.597888,0.259935,0.261151
5563.31,0.595935,0.246263,0.263104
5563.32,0.597888,0.2072,0.259198
5563.33,0.597888,0.173997,0.249433
5563.34,0.600818,0.180833,0.231854
5563.35,0.599841,0.1447,0.212323
5563.36,0.597888,0.091966,0.188886
5563.37,0.596912,0.048021,0.165448
5563.38,0.597888,0.007005,0.142011
5563.39,0.598865,-0.014479,0.059003
5563.4,0.601794,-0.038893,0.029706
5563.41,0.599841,-0.057448,0.001386
5563.42,0.598865,-0.137526,-0.031817
5563.43,0.595935,-0.159987,-0.060138
5563.44,0.597888,-0.158034,-0.090411
5563.45,0.596912,-0.1678,-0.109942
