Time,calib,bad,upstream,downstream
5967.32,0.601794,0.048997,0.048997,0.325604
5967.33,0.598865,-0.002761,-0.002761,0.267987
5967.34,0.600818,-0.060378,-0.060378,0.188886
5967.35,0.600818,-0.115065,-0.115065,0.146894
5967.36,0.601794,-0.141432,-0.141432,0.103925
5967.37,0.599841,-0.178542,-0.178542,0.071698
5967.38,0.600818,-0.215651,-0.215651,0.023847
5967.39,0.599841,-0.280104,-0.280104,0.001386
5967.4,0.599841,-0.31819,-0.31819,-0.035724
5967.41,0.600818,-0.311354,-0.311354,-0.066974
5967.42,0.599841,-0.327956,-0.327956,-0.100177
5967.43,0.599841,-0.329909,-0.329909,-0.134356
5967.44,0.600818,-0.338698,-0.338698,-0.16756
5967.45,0.600818,-0.332839,-0.332839,-0.199786
5967.46,0.604724,-0.329909,-0.329909,-0.232013
5967.47,0.600818,-0.32112,-0.32112,-0.25838
5967.48,0.600818,-0.309401,-0.309401,-0.281817
5967.49,0.598865,-0.293776,-0.293776,-0.296466
5967.5,0.600818,-0.273268,-0.273268,-0.306231
5967.51,0.598865,-0.244948,-0.244948,-0.305255
5967.52,0.599841,-0.217604,-0.217604,-0.296466
5967.53,0.599841,-0.179518,-0.179518,-0.290606
5967.54,0.599841,-0.137526,-0.137526,-0.283771
5967.55,0.599841,-0.091628,-0.091628,-0.264239
5967.56,0.601794,-0.041823,-0.041823,-0.247638
5967.57,0.601794,0.001146,0.001146,-0.225177
5967.58,0.601794,0.045091,0.045091,-0.201739
5967.59,0.600818,0.104661,0.104661,-0.179278
5967.6,0.600818,0.186693,0.186693,-0.153888
5967.61,0.599841,0.239427,0.239427,-0.13045
5967.62,0.601794,0.283372,0.283372,-0.091388
5967.63,0.599841,0.321458,0.321458,-0.052325
5967.64,0.599841,0.354661,0.354661,-0.014239
5967.65,0.602771,0.382982,0.382982,0.037519
5967.66,0.600818,0.401536,0.401536,0.078534
5967.67,0.601794,0.420091,0.420091,0.125409
5967.68,0.601794,0.42595,0.42595,0.170331
5967.69,0.599841,0.43181,0.43181,0.218183
5967.7,0.600818,0.429857,0.429857,0.232831
5967.71,0.600818,0.424974,0.424974,-0.270099
5967.72,0.599841,0.412279,0.412279,0.340253
5967.73,0.599841,0.40056,0.40056,0.392987
5967.74,0.600818,0.381029,0.381029,0.420331
5967.75,0.600818,0.344896,0.344896,0.441815
5967.76,0.600818,0.296068,0.296068,0.456464
5967.77,0.600818,0.273607,0.273607,0.465253
5967.78,0.600818,0.252122,0.252122,0.456464
5967.79,0.599841,0.219896,0.219896,0.428144
5967.8,0.600818,0.157396,0.157396,0.408612
5967.81,0.599841,0.109544,0.109544,0.358808
5967.82,0.600818,0.054857,0.054857,0.315839
5967.83,0.599841,0.001146,0.001146,0.263104
5967.84,0.600818,-0.055495,-0.055495,0.192792
5967.85,0.599841,-0.110182,-0.110182,0.14494
5967.86,0.601794,-0.147292,-0.147292,0.101972
5967.87,0.599841,-0.171706,-0.171706,0.069745
5967.88,0.601794,-0.211745,-0.211745,0.026776
5967.89,0.602771,-0.284011,-0.284011,0.006269
